País,Cliques,Impressões,CTR,Posição
Brasil,76,10634,0.71%,10.86
Portugal,4,145,2.76%,6.76
Reino Unido,3,46,6.52%,7.37
Espanha,1,34,2.94%,6.24
Estados Unidos,0,796,0%,7.34
Itália,0,52,0%,6.73
Índia,0,46,0%,15.91
Canadá,0,29,0%,8
Japão,0,27,0%,7.37
Angola,0,27,0%,8.81
Indonésia,0,27,0%,12.78
França,0,26,0%,5.73
Filipinas,0,23,0%,22.78
Vietnã,0,22,0%,12.68
Colômbia,0,19,0%,11.47
Paraguai,0,18,0%,6.56
México,0,18,0%,8.5
Alemanha,0,15,0%,8.33
Países Baixos,0,14,0%,8.79
Argentina,0,14,0%,10
Suíça,0,13,0%,8.38
Bélgica,0,13,0%,10.62
Cabo Verde,0,12,0%,9.08
Coréia do Sul,0,11,0%,21.55
China,0,10,0%,10.6
Bangladesh,0,10,0%,21.1
Moçambique,0,9,0%,7.44
Irlanda,0,8,0%,5.38
Malásia,0,8,0%,6.25
Rússia,0,8,0%,7.25
Austrália,0,8,0%,8.5
Singapura,0,6,0%,6.67
África do Sul,0,6,0%,8
Turquia,0,6,0%,8.17
Peru,0,6,0%,8.83
Equador,0,6,0%,10.83
Bolívia,0,6,0%,14.5
Emirados Árabes Unidos,0,5,0%,9.8
Tailândia,0,5,0%,14.4
Paquistão,0,5,0%,15
Polônia,0,4,0%,6
Palestina,0,4,0%,6.5
Egito,0,4,0%,14
Jordânia,0,4,0%,14
Argélia,0,4,0%,33.5
Ucrânia,0,3,0%,2.67
Uruguai,0,3,0%,4
Marrocos,0,3,0%,4.33
Nova Zelândia,0,3,0%,4.67
Suécia,0,3,0%,5.33
Cazaquistão,0,3,0%,7.67
Áustria,0,3,0%,8
Chile,0,3,0%,9.67
Taiwan,0,3,0%,9.67
Nigéria,0,3,0%,12.67
Guatemala,0,3,0%,19.33
Iraque,0,2,0%,1.5
Romênia,0,2,0%,4
República Tcheca,0,2,0%,5
Malta,0,2,0%,5
Noruega,0,2,0%,6
Albânia,0,2,0%,6.5
Dinamarca,0,2,0%,7
Venezuela,0,2,0%,7
Israel,0,2,0%,9
Namíbia,0,2,0%,9
Hong Kong,0,2,0%,10
Panamá,0,2,0%,11
Azerbaijão,0,2,0%,12
Etiópia,0,2,0%,12.5
Hungria,0,2,0%,12.5
Jamaica,0,2,0%,14.5
Grécia,0,2,0%,24.5
Bósnia e Herzegovina,0,1,0%,1
Cuba,0,1,0%,1
Sérvia,0,1,0%,1
Afeganistão,0,1,0%,2
República Dominicana,0,1,0%,2
Bielorrússia,0,1,0%,4
Lituânia,0,1,0%,5
Palau,0,1,0%,5
Nepal,0,1,0%,6
Eslováquia,0,1,0%,6
Belize,0,1,0%,7
Camboja,0,1,0%,7
Luxemburgo,0,1,0%,7
Tanzânia,0,1,0%,8
Trinidad e Tobago,0,1,0%,9
Irã,0,1,0%,10
Costa Rica,0,1,0%,12
Gana,0,1,0%,12
Nicarágua,0,1,0%,13
Eslovênia,0,1,0%,14
Síria,0,1,0%,14
Congo-Brazzaville,0,1,0%,15
Arábia Saudita,0,1,0%,15
