Tempo (UTC-03:00),Cliques,Impressões,CTR,Posição
2026-03-18T07:00:00,0,4,0%,13.5
2026-03-18T08:00:00,0,1,0%,11
2026-03-18T09:00:00,0,3,0%,28.7
2026-03-18T10:00:00,0,3,0%,10.3
2026-03-18T11:00:00,0,3,0%,8
2026-03-18T12:00:00,0,4,0%,13.2
2026-03-18T13:00:00,0,3,0%,8.7
2026-03-18T14:00:00,0,2,0%,12.5
2026-03-18T15:00:00,0,0,0%,0
2026-03-18T16:00:00,0,3,0%,8
2026-03-18T17:00:00,0,1,0%,10
2026-03-18T18:00:00,0,1,0%,7
2026-03-18T19:00:00,0,1,0%,10
2026-03-18T20:00:00,0,4,0%,9.5
2026-03-18T21:00:00,0,0,0%,0
2026-03-18T22:00:00,0,1,0%,6
2026-03-18T23:00:00,0,0,0%,0
2026-03-19T00:00:00,0,0,0%,0
2026-03-19T01:00:00,0,0,0%,0
2026-03-19T02:00:00,0,0,0%,0
2026-03-19T03:00:00,0,0,0%,0
2026-03-19T04:00:00,0,0,0%,0
2026-03-19T05:00:00,0,0,0%,0
2026-03-19T06:00:00,0,0,0%,0
